,context,ques,ans
0,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.",How many annual fests does IIT Patna host?,IIT Patna hosts several annual fests.
1,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What type of fest is ""Anwesha""?","""Anwesha"" is a three-day cultural and techno-management fest."
2,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","When is ""Anwesha"" typically held?","""Anwesha"" is typically held every spring."
3,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What are some of the events featured in ""Anwesha""?","""Anwesha"" features workshops, cultural performances, competitions, and pronites."
4,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What is the focus of ""Celesta""?","""Celesta"" is the techno-management fest."
5,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What is a key attraction of ""Celesta""?","""Celesta"" attracts participants from across India with events like robotics competitions and technical workshops."
6,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What is the purpose of ""Infinito""?","""Infinito"" is the sports fest that promotes athleticism and teamwork among students."
7,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","Which department organizes ""Apeireon""?","The Computer Science department organizes ""Apeireon""."
8,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What is the primary focus of ""Apeireon""?","""Apeireon"" is the coding fest."
9,"IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges.","What is a notable aspect of participation in ""Apeireon""?","""Apeireon"" has global participation in programming challenges."
